n,cnt,2*1,3*1,3*3,4*4,5*5
6,31250006,0.000099,0.000102,0.000051,0.000046,0.000045
7,15625007,0.000192,0.000193,0.000098,0.000091,0.00009
8,7812508,0.00037,0.000372,0.00017,0.000161,0.000158
9,3906259,0.000726,0.000726,0.000317,0.000302,0.000296
10,1953135,0.001432,0.001436,0.0006,0.000574,0.000558
11,976573,0.002833,0.002841,0.001156,0.0011,0.00107
12,488293,0.005676,0.005681,0.002307,0.002175,0.00212
13,244153,0.013376,0.013644,0.007035,0.006739,0.006341
14,122084,0.02743,0.027835,0.01314,0.012592,0.011857
15,61050,0.054727,0.055765,0.022505,0.021463,0.020356
16,30533,0.108088,0.112141,0.063546,0.059502,0.05662
17,15275,0.220121,0.224457,0.136307,0.125757,0.120438
18,7647,0.4616,0.462532,0.298115,0.274492,0.265643
19,3833,0.918088,0.932122,0.519843,0.465223,0.477381
20,1927,1.763232,1.813301,0.872846,0.973355,0.996662
21,974,3.674806,3.687959,2.5062,2.456375,2.198272
22,498,7.43369,7.423609,5.357072,5.078273,4.883298
23,261,15.159225,15.055964,10.858104,10.331064,9.886501
24,143,30.177046,30.025728,21.709633,20.713621,19.874772
25,84,60.941106,60.636768,44.015265,41.890591,40.296484
26,55,117.785103,117.448273,83.386901,79.367885,75.922484
